article_id,authors,author_name
2001.00236,"Donghoon Chang (1), Vinjohn Chirakkal (2), Shubham Goswami (3),
  Munawar Hasan (1), Taekwon Jung (2), Jinkeon Kang (1,3), Seok-Cheol Kee (4),
  Dongkyu Lee (5), Ajit Pratap Singh (1) ((1) Department of Computer Science,
  IIIT-Delhi, India, (2) Springcloud Inc., Korea, (3) Center for Information
  Security Technologies (CIST), Korea University, Korea, (4) Smart Car Research
  Center, Chungbuk National University, Korea, (5) Department of Smart Car
  Engineering, Chungbuk National University, Korea)","Donghoon Chang (1), Vinjohn Chirakkal (2), Shubham Goswami (3),
  Munawar Hasan (1), Taekwon Jung (2), Jinkeon Kang (1,3), Seok-Cheol Kee (4),
  Dongkyu Lee (5), Ajit Pratap Singh (1) ((1) Department of Computer Science,
  IIIT-Delhi, India, (2) Springcloud Inc., Korea, (3) Center for Information
  Security Technologies (CIST), Korea University, Korea, (4) Smart Car Research
  Center, Chungbuk National University, Korea, (5) Department of Smart Car
  Engineering, Chungbuk National University, Korea)"
2001.00238,"Jurandy Almeida, Cristiano Saltori, Paolo Rota, and Nicu Sebe","Jurandy Almeida, Cristiano Saltori, Paolo Rota,"
2001.00238,"Jurandy Almeida, Cristiano Saltori, Paolo Rota, and Nicu Sebe",Nicu Sebe
2001.00243,Mahbubur Rahman and Abusayeed Saifullah,Mahbubur Rahman
2001.00243,Mahbubur Rahman and Abusayeed Saifullah,Abusayeed Saifullah
2001.00248,"Sungryull Sohn, Hyunjae Woo, Jongwook Choi, Honglak Lee","Sungryull Sohn, Hyunjae Woo, Jongwook Choi, Honglak Lee"
2001.00249,"Maria De-Arteaga, Tejumade Afonja, Amanda Coston","Maria De-Arteaga, Tejumade Afonja, Amanda Coston"
2001.00254,"Zhaodong Chen, Lei Deng, Bangyan Wang, Guoqi Li, Yuan Xie","Zhaodong Chen, Lei Deng, Bangyan Wang, Guoqi Li, Yuan Xie"
2001.00257,"Parinya Chalermsook, Samir Khuller, Pattara Sukprasert, Sumedha Uniyal","Parinya Chalermsook, Samir Khuller, Pattara Sukprasert, Sumedha Uniyal"
2001.00258,"Mahendra Khened, Avinash Kori, Haran Rajkumar, Balaji Srinivasan,
  Ganapathy Krishnamurthi","Mahendra Khened, Avinash Kori, Haran Rajkumar, Balaji Srinivasan,
  Ganapathy Krishnamurthi"
2001.00259,Ghafour Ahani and Di Yuan,Ghafour Ahani
2001.00259,Ghafour Ahani and Di Yuan,Di Yuan
2001.00265,Kan Li and Jose C. Principe,Kan Li
2001.00265,Kan Li and Jose C. Principe,Jose C. Principe
2001.00267,"Jianing Sun, Yingxue Zhang, Chen Ma, Mark Coates, Huifeng Guo, Ruiming
  Tang, Xiuqiang He","Jianing Sun, Yingxue Zhang, Chen Ma, Mark Coates, Huifeng Guo, Ruiming
  Tang, Xiuqiang He"
2001.00271,"Khimya Khetarpal, Martin Klissarov, Maxime Chevalier-Boisvert,
  Pierre-Luc Bacon, Doina Precup","Khimya Khetarpal, Martin Klissarov, Maxime Chevalier-Boisvert,
  Pierre-Luc Bacon, Doina Precup"
2001.00278,"Facundo Memoli, Guilherme Vituri F. Pinto","Facundo Memoli, Guilherme Vituri F. Pinto"
2001.00279,"Alberto Iess, Elena Cuoco, Filip Morawski and Jade Powell","Alberto Iess, Elena Cuoco, Filip Morawski"
2001.00279,"Alberto Iess, Elena Cuoco, Filip Morawski and Jade Powell",Jade Powell
2001.00281,"Yaohui Cai, Zhewei Yao, Zhen Dong, Amir Gholami, Michael W. Mahoney,
  Kurt Keutzer","Yaohui Cai, Zhewei Yao, Zhen Dong, Amir Gholami, Michael W. Mahoney,
  Kurt Keutzer"
2001.00285,"Mai Thanh Thai, Phuoc Thien Phan, Shing Wong, Nigel H. Lovell, Thanh
  Nho Do","Mai Thanh Thai, Phuoc Thien Phan, Shing Wong, Nigel H. Lovell, Thanh
  Nho Do"
2001.00288,"Chandresh Kumar Maurya, Neelamadhav Gantayat, Sampath Dechu, Tomas
  Horvath","Chandresh Kumar Maurya, Neelamadhav Gantayat, Sampath Dechu, Tomas
  Horvath"
2001.00292,"Jin Chen, Huihui Song, Kaihua Zhang, Bo Liu, Qingshan Liu","Jin Chen, Huihui Song, Kaihua Zhang, Bo Liu, Qingshan Liu"
2001.00293,"Wenwu Zhu, Xin Wang, Peng Cui","Wenwu Zhu, Xin Wang, Peng Cui"
2001.00294,"Dezhao Luo, Chang Liu, Yu Zhou, Dongbao Yang, Can Ma, Qixiang Ye,
  Weiping Wang","Dezhao Luo, Chang Liu, Yu Zhou, Dongbao Yang, Can Ma, Qixiang Ye,
  Weiping Wang"
2001.00295,"Huiwei Zhou, Shixian Ning, Yunlong Yang, Zhuang Liu, Chengkun Lang,
  Yingyu Lin","Huiwei Zhou, Shixian Ning, Yunlong Yang, Zhuang Liu, Chengkun Lang,
  Yingyu Lin"
2001.00301,"Jiyoon Ham, Joshua I. James","Jiyoon Ham, Joshua I. James"
2001.00303,"Nima Anari, Kuikui Liu, Shayan Oveis Gharan","Nima Anari, Kuikui Liu, Shayan Oveis Gharan"
2001.00306,"Jun Ma, Zilong Cheng, Xiaoxue Zhang, Masayoshi Tomizuka, Tong Heng Lee","Jun Ma, Zilong Cheng, Xiaoxue Zhang, Masayoshi Tomizuka, Tong Heng Lee"
2001.00308,"Ying Meng, Jianhai Su, Jason OKane, Pooyan Jamshidi","Ying Meng, Jianhai Su, Jason OKane, Pooyan Jamshidi"
2001.00309,"Hao Chen, Kunyang Sun, Zhi Tian, Chunhua Shen, Yongming Huang,
  Youliang Yan","Hao Chen, Kunyang Sun, Zhi Tian, Chunhua Shen, Yongming Huang,
  Youliang Yan"
2001.00315,"Dongjing Miao, Zhipeng Cai, Jianzhong Li, Xiangyu Gao, Xianmin Liu","Dongjing Miao, Zhipeng Cai, Jianzhong Li, Xiangyu Gao, Xianmin Liu"
2001.00325,Shunsuke Kurima,Shunsuke Kurima
2001.00326,Xuanyi Dong and Yi Yang,Xuanyi Dong
2001.00326,Xuanyi Dong and Yi Yang,Yi Yang
2001.00329,Dallas Card and Noah A. Smith,Dallas Card
2001.00329,Dallas Card and Noah A. Smith,Noah A. Smith
2001.0033,"Bilal Arain, Feras Dayoub, Paul Rigby, Matthew Dunbabin","Bilal Arain, Feras Dayoub, Paul Rigby, Matthew Dunbabin"
2001.00335,"Yi Lu, Yaran Chen, Dongbin Zhao, Jianxin Chen","Yi Lu, Yaran Chen, Dongbin Zhao, Jianxin Chen"
2001.00336,"Sayan Bhattacharya, Danupon Nanongkai, Thatchaphol Saranurak","Sayan Bhattacharya, Danupon Nanongkai, Thatchaphol Saranurak"
2001.00337,"Ying Yang, Ruigang Shen, Mingjuan Fang, Shi Shu","Ying Yang, Ruigang Shen, Mingjuan Fang, Shi Shu"
2001.00338,"Eric Daimler, Ryan Wisnesky","Eric Daimler, Ryan Wisnesky"
2001.00339,"Yuanyuan Lyu, Haofu Liao, Heqin Zhu, S. Kevin Zhou","Yuanyuan Lyu, Haofu Liao, Heqin Zhu, S. Kevin Zhou"
2001.0034,"Yuanyuan Lyu, Wei-An Lin, Haofu Liao, Jingjing Lu, S. Kevin Zhou","Yuanyuan Lyu, Wei-An Lin, Haofu Liao, Jingjing Lu, S. Kevin Zhou"
2001.00342,Doyeon Weon and Kyungchun Lee,Doyeon Weon
2001.00342,Doyeon Weon and Kyungchun Lee,Kyungchun Lee
2001.00345,"Raj Kishore, S. Swayamjyoti, Shreeja Das, Ajay K. Gogineni, Zohar
  Nussinov, D. Solenov, Kisor K. Sahu","Raj Kishore, S. Swayamjyoti, Shreeja Das, Ajay K. Gogineni, Zohar
  Nussinov, D. Solenov, Kisor K. Sahu"
2001.00346,"Ce Wang, S. Kevin Zhou, Zhiwei Cheng","Ce Wang, S. Kevin Zhou, Zhiwei Cheng"
2001.00347,Eduard E. Bahingayi and Kyungchun Lee,Eduard E. Bahingayi
2001.00347,Eduard E. Bahingayi and Kyungchun Lee,Kyungchun Lee
2001.0035,Brian K. Ryu,Brian K. Ryu
2001.00351,"Meng Hua, Luxi Yang, Qingqing Wu, A. Lee Swindlehurst","Meng Hua, Luxi Yang, Qingqing Wu, A. Lee Swindlehurst"
2001.00356,"Moonyoung Lee, Yujin Heo, Jinyong Park, Hyun-Dae Yang Ho-Deok Jang,
  Philipp Benz, Hyunsub Park, In So Kweon, Jun-Ho Oh","Moonyoung Lee, Yujin Heo, Jinyong Park, Hyun-Dae Yang Ho-Deok Jang,
  Philipp Benz, Hyunsub Park, In So Kweon, Jun-Ho Oh"
2001.00358,"Moonyoung Lee, Yujin Heo, Saihim Cho, Hyunsub Park, Jun-Ho Oh","Moonyoung Lee, Yujin Heo, Saihim Cho, Hyunsub Park, Jun-Ho Oh"
2001.0036,"Cong Chen, Kim Batselier, Wenjian Yu, Ngai Wong","Cong Chen, Kim Batselier, Wenjian Yu, Ngai Wong"
2001.00361,Bohan Liang and Shangxi Wu and Kaiyuan Xu and Jingyu Hao,Bohan Liang
2001.00361,Bohan Liang and Shangxi Wu and Kaiyuan Xu and Jingyu Hao,Shangxi Wu
2001.00361,Bohan Liang and Shangxi Wu and Kaiyuan Xu and Jingyu Hao,Kaiyuan Xu
2001.00361,Bohan Liang and Shangxi Wu and Kaiyuan Xu and Jingyu Hao,Jingyu Hao
2001.00362,Azhar Alhammali and Malgorzata Peszynska,Azhar Alhammali
2001.00362,Azhar Alhammali and Malgorzata Peszynska,Malgorzata Peszynska
2001.00363,"Gal Assa, Hagar Meir, Guy Golan-Gueta, Idit Keidar, Alexander
  Spiegelman","Gal Assa, Hagar Meir, Guy Golan-Gueta, Idit Keidar, Alexander
  Spiegelman"
2001.00364,"Xiaojun Yuan, Ying-Jun Angela Zhang, Yuanming Shi, Wenjing Yan, Hang
  Liu","Xiaojun Yuan, Ying-Jun Angela Zhang, Yuanming Shi, Wenjing Yan, Hang
  Liu"
2001.00367,Jiapeng Dong and Pengju Wang and Weiqiang Sun,Jiapeng Dong
2001.00367,Jiapeng Dong and Pengju Wang and Weiqiang Sun,Pengju Wang
2001.00367,Jiapeng Dong and Pengju Wang and Weiqiang Sun,Weiqiang Sun
2001.0037,"Luis Miguel de Oliveira Vilaca, Bryan Gomez-Vargas, Sarvesh Kumar,
  Ricardo Ruiz-Baier, Nitesh Verma","Luis Miguel de Oliveira Vilaca, Bryan Gomez-Vargas, Sarvesh Kumar,
  Ricardo Ruiz-Baier, Nitesh Verma"
2001.00372,"Thomas Drugman, Thomas Dubuisson, Thierry Dutoit","Thomas Drugman, Thomas Dubuisson, Thierry Dutoit"
2001.00378,"Siddique Latif, Rajib Rana, Sara Khalifa, Raja Jurdak, Junaid Qadir,
  and Bj""orn W. Schuller","Siddique Latif, Rajib Rana, Sara Khalifa, Raja Jurdak, Junaid Qadir,"
